instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	ligaments,legs,organs,nails,fingers	part of the human body
Use the Input below to identify the common property or characteristic shared by all these concepts.	micelles,scintillas,virions,bosons,prions	particles
Use the Input below to identify the common property or characteristic shared by all these concepts.	tea parties,assignees,opposition,masquerades,reunion	parties
Use the Input below to identify the common property or characteristic shared by all these concepts.	wreckage,cell membranes,backbones,items,fractions	parts
Use the Input below to identify the common property or characteristic shared by all these concepts.	wheel,gears,pedals,pedal,chain	parts of a bicycle
Use the Input below to identify the common property or characteristic shared by all these concepts.	front cover,chapters,footnotes,epilogue,verse	parts of a book
Use the Input below to identify the common property or characteristic shared by all these concepts.	chimney,ceiling,lock,lintel,column	parts of a building
Use the Input below to identify the common property or characteristic shared by all these concepts.	lens,zoom,frame,flash,shutter	parts of a camera
Use the Input below to identify the common property or characteristic shared by all these concepts.	wheel,bumper,odometer,speedometer,steering wheel	parts of a car
Use the Input below to identify the common property or characteristic shared by all these concepts.	screen,ram,peripherals,hard drive,mouse	parts of a computer
Use the Input below to identify the common property or characteristic shared by all these concepts.	key,hinges,knobs,knocker,handles	parts of a door
Use the Input below to identify the common property or characteristic shared by all these concepts.	petal,bulb,vase,ovary,petals	parts of a flower
Use the Input below to identify the common property or characteristic shared by all these concepts.	soundhole,neck,sound hole,strings,frets	parts of a guitar
Use the Input below to identify the common property or characteristic shared by all these concepts.	walls,front,windows,railing,bedroom	parts of a house
Use the Input below to identify the common property or characteristic shared by all these concepts.	dimmer switch,lampshade,light bulb,switch,light switch	parts of a lamp
Use the Input below to identify the common property or characteristic shared by all these concepts.	bulb,flowers,flower,stems,grass	parts of a plant
Use the Input below to identify the common property or characteristic shared by all these concepts.	intermission,rehearsal,chorus,monologue,dialogue	parts of a play
Use the Input below to identify the common property or characteristic shared by all these concepts.	climax,setting,plot,exposition,rising action	parts of a story
Use the Input below to identify the common property or characteristic shared by all these concepts.	roots,palm leaf,tree trunk,limbs,branch	parts of a tree
Use the Input below to identify the common property or characteristic shared by all these concepts.	aisle,wing,cockpit,tail,middle seat	parts of an airplane
